customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,online_security,device_protection,streaming_tv,streaming_movies,phone_service,multiple_lines,payment_method,paperless_billing,senior_citizen,partner,dependents,churn
CUST-000014,66,67.73,4692.63,Month-to-month,DSL,No,Yes,No,No,No,Yes,No,Bank transfer,No,No,No,Yes,0
CUST-000015,52,99.86,5394.62,Month-to-month,Fiber optic,No,No,Yes,Yes,No,Yes,No,Mailed check,Yes,No,Yes,No,1
CUST-000016,12,64.36,673.81,Month-to-month,DSL,No,No,No,Yes,Yes,Yes,Yes,Bank transfer,Yes,Yes,No,Yes,1
CUST-000017,62,29.88,2080.28,One year,No,No,No,No,Yes,No,Yes,Yes,Electronic check,No,Yes,Yes,Yes,0
CUST-000018,47,118.24,5777.64,Two year,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Bank transfer,Yes,No,Yes,No,1
CUST-000019,7,73.94,751.58,Two year,DSL,No,Yes,Yes,Yes,Yes,Yes,No,Credit card,No,No,Yes,No,0
CUST-000020,21,77.5,1523.65,Month-to-month,DSL,No,Yes,No,No,Yes,Yes,No,Electronic check,Yes,No,No,Yes,0
CUST-000021,12,68.21,704.34,Month-to-month,DSL,Yes,Yes,No,No,No,Yes,Yes,Bank transfer,Yes,No,Yes,Yes,0
CUST-000022,70,83.53,5878.46,Month-to-month,DSL,Yes,No,No,No,No,Yes,Yes,Credit card,Yes,No,Yes,No,0
CUST-000023,53,109.57,5949.1,Two year,Fiber optic,No,No,Yes,Yes,Yes,Yes,No,Mailed check,Yes,No,Yes,Yes,0
CUST-000024,67,95.89,6321.85,One year,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Bank transfer,Yes,No,No,No,0
CUST-000025,20,122.4,2628.64,Two year,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Electronic check,Yes,No,Yes,No,0
CUST-000026,46,122.97,5516.57,Two year,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,Credit card,No,No,Yes,No,1
CUST-000027,44,80.18,3387.85,Month-to-month,DSL,No,Yes,Yes,Yes,Yes,Yes,No,Mailed check,No,No,No,No,0
CUST-000028,54,106.7,5914.25,Month-to-month,Fiber optic,Yes,Yes,No,No,Yes,Yes,No,Credit card,Yes,Yes,Yes,Yes,0
CUST-000029,8,115.55,1171.37,Month-to-month,Fiber optic,Yes,No,No,Yes,Yes,Yes,No,Bank transfer,No,Yes,Yes,No,1
CUST-000030,37,119.48,4752.78,Two year,Fiber optic,No,Yes,No,Yes,Yes,No,No,Electronic check,No,No,Yes,No,0
CUST-000031,47,36.92,1865.94,One year,No,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,No,No,Yes,No,0
CUST-000032,60,125.83,7490.48,Month-to-month,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No,Electronic check,Yes,No,Yes,No,1
CUST-000033,47,91.18,4085.48,One year,Fiber optic,Yes,No,No,Yes,No,Yes,No,Credit card,No,No,No,No,1
CUST-000034,32,81.13,2477.51,Month-to-month,DSL,Yes,No,Yes,Yes,Yes,Yes,No,Bank transfer,No,Yes,No,No,1
CUST-000035,33,64.12,2371.51,Month-to-month,DSL,No,No,No,Yes,No,Yes,No,Credit card,Yes,Yes,No,Yes,1
CUST-000036,24,84.46,1830.5,Two year,DSL,No,No,Yes,No,Yes,Yes,Yes,Bank transfer,No,No,No,Yes,0
CUST-000037,11,110.55,1394.06,One year,Fiber optic,No,No,No,Yes,No,Yes,Yes,Credit card,No,No,No,No,0
CUST-000038,20,76.7,1625.36,Two year,No,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,Yes,No,No,No,0
CUST-000039,10,109.55,963.73,Month-to-month,Fiber optic,No,No,No,Yes,Yes,Yes,No,Electronic check,No,No,No,Yes,1
CUST-000040,16,82.94,1689.79,Two year,DSL,No,No,Yes,Yes,No,Yes,No,Credit card,Yes,No,No,No,0
CUST-000041,62,103.97,6681.35,Month-to-month,Fiber optic,Yes,Yes,No,No,No,Yes,Yes,Bank transfer,Yes,No,Yes,No,0
CUST-000042,38,63.91,2597.53,Month-to-month,DSL,No,Yes,No,Yes,No,Yes,No,Electronic check,No,No,No,No,1
CUST-000043,6,30.46,103.23,Two year,No,No,No,Yes,No,Yes,No,No,Electronic check,No,No,No,No,0
CUST-000044,31,107.46,3625.4,Month-to-month,Fiber optic,Yes,Yes,No,Yes,No,Yes,Yes,Electronic check,No,No,No,Yes,1
CUST-000045,19,102.82,1842.25,Month-to-month,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Credit card,Yes,No,No,No,1
CUST-000046,48,61.77,2993.3,Month-to-month,DSL,No,No,Yes,No,No,Yes,Yes,Electronic check,Yes,No,No,Yes,0
CUST-000047,60,138.49,8086.19,Two year,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Electronic check,Yes,No,No,No,0
CUST-000048,0,80.64,28.29,One year,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Bank transfer,Yes,No,No,No,0
CUST-000049,34,46.95,1676.85,Two year,DSL,No,No,No,No,Yes,Yes,Yes,Credit card,No,No,Yes,No,0
CUST-000050,32,106.85,3944.73,One year,Fiber optic,Yes,No,Yes,No,Yes,No,Yes,Bank transfer,No,No,Yes,No,0
CUST-000051,72,43.11,3132.6,Two year,No,No,No,Yes,Yes,Yes,Yes,No,Credit card,No,No,Yes,No,0
CUST-000052,26,45.7,1044.45,Two year,DSL,No,Yes,No,No,No,Yes,No,Electronic check,Yes,No,No,No,0
CUST-000053,12,51.27,531.53,Month-to-month,No,No,No,No,Yes,No,Yes,No,Credit card,Yes,No,No,No,0
CUST-000054,14,92.32,1305.09,One year,Fiber optic,No,No,No,No,No,Yes,Yes,Credit card,No,No,No,Yes,0
CUST-000055,34,121.33,4111.26,Two year,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Bank transfer,No,No,Yes,No,0
CUST-000056,43,112.87,5024.36,Month-to-month,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,Mailed check,No,Yes,Yes,Yes,0
CUST-000057,23,102.82,2311.48,One year,Fiber optic,Yes,No,No,No,No,Yes,Yes,Electronic check,No,No,No,No,0
CUST-000058,31,83.39,2306.19,Month-to-month,Fiber optic,Yes,No,Yes,No,No,No,Yes,Bank transfer,No,No,No,Yes,1
CUST-000059,48,79.41,3810.93,Month-to-month,DSL,Yes,Yes,No,Yes,No,Yes,No,Electronic check,Yes,No,No,No,1
CUST-000060,21,66.02,1195.21,Month-to-month,DSL,No,No,Yes,No,Yes,Yes,Yes,Electronic check,No,No,No,Yes,0
CUST-000061,70,87.95,6121.91,Month-to-month,DSL,Yes,No,Yes,Yes,No,Yes,No,Mailed check,No,No,No,Yes,0
CUST-000062,15,92.94,1605.32,Month-to-month,DSL,No,Yes,No,Yes,No,Yes,No,Bank transfer,Yes,No,Yes,No,1
CUST-000063,68,93.1,6515.62,Month-to-month,Fiber optic,No,No,Yes,No,No,Yes,Yes,Bank transfer,No,Yes,Yes,Yes,0
CUST-000064,63,99.43,6195.22,One year,Fiber optic,No,Yes,No,Yes,Yes,Yes,No,Mailed check,No,No,No,No,0
CUST-000065,69,55.43,3640.92,Month-to-month,DSL,No,Yes,Yes,Yes,No,No,No,Bank transfer,Yes,No,Yes,No,0
CUST-000066,58,107.07,6128.11,Month-to-month,Fiber optic,No,No,No,No,No,Yes,Yes,Bank transfer,Yes,No,No,Yes,1
CUST-000067,38,96.02,3517.61,Two year,Fiber optic,No,Yes,No,Yes,No,Yes,No,Credit card,No,No,Yes,No,0
CUST-000068,44,91.14,3700.34,Month-to-month,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Credit card,Yes,No,Yes,Yes,0
CUST-000069,15,54.49,866.24,Month-to-month,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic check,No,No,Yes,No,0
CUST-000070,25,97.53,2516.71,Month-to-month,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Electronic check,Yes,No,No,No,0
CUST-000071,33,99.68,3493.63,One year,Fiber optic,No,Yes,No,No,No,Yes,Yes,Electronic check,Yes,No,Yes,No,0
CUST-000072,69,87.29,6038.0,One year,Fiber optic,No,No,Yes,No,No,No,No,Bank transfer,Yes,No,Yes,Yes,0
CUST-000073,58,113.4,6516.34,Month-to-month,Fiber optic,No,Yes,Yes,Yes,No,Yes,Yes,Bank transfer,Yes,No,Yes,No,1
CUST-000074,41,105.28,4524.04,Two year,Fiber optic,Yes,No,No,Yes,Yes,Yes,No,Mailed check,No,No,No,Yes,0
CUST-000075,43,43.99,2084.95,Month-to-month,No,No,Yes,No,Yes,No,No,Yes,Bank transfer,No,No,No,No,0
CUST-000076,31,56.52,1816.23,Month-to-month,No,Yes,No,No,Yes,Yes,Yes,No,Credit card,Yes,No,No,No,1
CUST-000077,30,71.24,2168.71,Month-to-month,DSL,No,No,No,No,No,Yes,Yes,Bank transfer,Yes,No,No,No,1
CUST-000078,65,99.48,6791.92,One year,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,No,Bank transfer,Yes,No,Yes,No,0
CUST-000079,0,94.61,54.98,Two year,Fiber optic,No,No,No,Yes,No,Yes,No,Bank transfer,No,Yes,Yes,Yes,0
CUST-000080,23,110.73,3000.0,Month-to-month,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,Electronic check,Yes,No,Yes,No,1
CUST-000081,29,92.3,2712.53,One year,Fiber optic,No,No,No,Yes,No,Yes,Yes,Credit card,Yes,No,No,No,1
CUST-000082,50,48.89,2689.54,One year,No,No,No,Yes,Yes,Yes,Yes,No,Electronic check,Yes,No,Yes,No,0
CUST-000083,30,44.72,1450.98,Two year,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit card,Yes,No,No,Yes,0
CUST-000084,22,103.64,2378.45,One year,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,No,No,No,No,1
CUST-000085,5,79.33,321.65,Month-to-month,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer,No,Yes,No,No,1
CUST-000086,19,96.56,1949.96,Month-to-month,Fiber optic,Yes,No,Yes,Yes,No,No,No,Credit card,No,Yes,Yes,No,1
CUST-000087,7,67.91,645.75,Month-to-month,DSL,Yes,Yes,No,No,Yes,Yes,No,Credit card,Yes,No,Yes,Yes,1
CUST-000088,51,82.28,4356.45,Month-to-month,Fiber optic,Yes,No,No,Yes,No,Yes,No,Electronic check,Yes,No,Yes,No,1
CUST-000089,31,90.7,2718.34,Month-to-month,Fiber optic,No,No,No,Yes,No,Yes,No,Electronic check,Yes,No,Yes,No,1
CUST-000090,16,112.33,1691.85,One year,Fiber optic,No,No,No,No,Yes,Yes,No,Bank transfer,Yes,No,No,No,0
CUST-000091,39,68.83,2591.24,Two year,DSL,No,Yes,No,No,No,Yes,Yes,Credit card,Yes,Yes,Yes,Yes,0
CUST-000092,35,91.29,3235.98,Two year,Fiber optic,No,No,No,No,Yes,Yes,No,Electronic check,Yes,No,Yes,No,1
CUST-000093,34,52.19,1547.84,Month-to-month,DSL,No,No,No,No,No,Yes,No,Electronic check,Yes,Yes,No,Yes,1
CUST-000094,42,81.77,3498.77,Month-to-month,DSL,No,No,No,Yes,Yes,Yes,No,Credit card,Yes,No,Yes,Yes,0
CUST-000095,45,105.52,4970.64,Two year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Electronic check,Yes,No,Yes,Yes,0
CUST-000096,13,76.03,824.52,Month-to-month,DSL,No,Yes,Yes,No,Yes,Yes,No,Mailed check,Yes,No,No,No,0
CUST-000097,11,74.57,895.07,Month-to-month,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Credit card,No,No,Yes,No,1
CUST-000098,53,82.14,4407.62,Month-to-month,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,No,Yes,No,0
CUST-000099,71,42.82,2879.33,Two year,No,Yes,No,Yes,No,No,Yes,No,Credit card,No,Yes,No,Yes,0
CUST-000100,40,84.55,3263.07,One year,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Bank transfer,No,No,No,Yes,0
CUST-000101,32,110.4,3611.93,One year,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer,Yes,No,Yes,No,0
CUST-000102,45,62.41,3038.35,Two year,DSL,No,No,Yes,No,Yes,No,Yes,Credit card,Yes,No,No,No,0
CUST-000103,2,82.18,0.0,Month-to-month,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,No,No,No,1
CUST-000104,27,86.93,2452.01,Month-to-month,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer,Yes,No,No,No,1
CUST-000105,26,101.24,2483.69,Two year,Fiber optic,No,No,Yes,No,Yes,No,No,Bank transfer,Yes,No,No,No,0
CUST-000106,30,110.58,3114.22,One year,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Mailed check,No,No,No,No,1
CUST-000107,54,121.87,6359.28,One year,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,Mailed check,No,No,Yes,No,0
CUST-000108,36,38.94,1386.33,Month-to-month,No,Yes,No,No,No,No,Yes,No,Electronic check,Yes,Yes,No,No,1
CUST-000109,62,76.42,4787.52,Two year,DSL,Yes,No,No,Yes,No,Yes,No,Electronic check,Yes,No,Yes,Yes,0
CUST-000110,34,109.79,3650.95,Two year,Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,Credit card,No,No,No,No,0
CUST-000111,2,98.13,0.0,One year,Fiber optic,Yes,No,Yes,Yes,No,Yes,No,Credit card,No,No,No,No,0
CUST-000112,49,35.89,1813.43,Month-to-month,No,Yes,Yes,Yes,No,No,No,No,Mailed check,No,No,Yes,No,0
CUST-000113,58,102.04,5922.23,Month-to-month,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic check,No,Yes,No,No,0
CUST-000114,42,77.97,3162.07,Two year,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,No,Yes,No,0
CUST-000115,68,84.33,5697.87,Month-to-month,DSL,No,Yes,No,Yes,Yes,Yes,No,Mailed check,Yes,No,No,No,0
CUST-000116,30,76.58,2280.57,Month-to-month,DSL,No,No,Yes,No,No,No,Yes,Credit card,Yes,No,No,No,1
CUST-000117,58,92.57,5540.09,Month-to-month,Fiber optic,No,No,No,No,Yes,No,Yes,Bank transfer,Yes,No,No,No,1
CUST-000118,0,78.64,277.35,Month-to-month,DSL,No,No,Yes,Yes,No,No,Yes,Credit card,Yes,No,Yes,Yes,1
CUST-000119,2,69.23,84.47,Month-to-month,DSL,Yes,No,No,No,No,No,Yes,Credit card,Yes,No,No,No,1
CUST-000120,57,51.49,2856.48,One year,No,No,Yes,Yes,No,No,Yes,No,Mailed check,No,No,No,No,0
CUST-000121,63,95.16,6191.37,One year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,No,No,Yes,No,0
CUST-000122,37,82.47,3255.72,One year,Fiber optic,No,Yes,No,No,No,Yes,Yes,Electronic check,No,No,Yes,No,1
CUST-000123,54,66.97,3478.18,One year,DSL,No,No,Yes,No,No,Yes,No,Mailed check,Yes,No,Yes,No,0
CUST-000124,23,107.67,2400.8,Month-to-month,Fiber optic,No,Yes,Yes,Yes,No,No,Yes,Electronic check,Yes,No,Yes,Yes,1
CUST-000125,53,42.12,2026.91,Month-to-month,No,No,No,Yes,Yes,Yes,No,No,Electronic check,No,Yes,No,No,1
CUST-000126,36,109.13,3765.99,Month-to-month,Fiber optic,Yes,No,No,Yes,No,Yes,No,Electronic check,Yes,No,Yes,No,1
CUST-000127,22,102.29,2314.03,Month-to-month,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,Mailed check,No,No,Yes,Yes,1
CUST-000128,6,57.26,222.56,Month-to-month,DSL,No,No,Yes,Yes,Yes,No,No,Bank transfer,No,No,No,No,0
CUST-000129,12,103.93,1421.05,Month-to-month,Fiber optic,No,No,Yes,Yes,Yes,No,Yes,Credit card,Yes,No,No,No,0
CUST-000130,66,109.7,7284.09,Two year,Fiber optic,No,No,No,Yes,Yes,Yes,No,Bank transfer,No,No,No,No,0
CUST-000131,32,108.26,3413.05,Month-to-month,Fiber optic,Yes,No,No,Yes,Yes,Yes,No,Bank transfer,No,No,No,No,0
CUST-000132,72,105.17,7955.3,Month-to-month,Fiber optic,No,Yes,Yes,Yes,No,Yes,Yes,Credit card,Yes,Yes,Yes,Yes,0
CUST-000133,25,67.59,1580.96,Two year,DSL,Yes,Yes,Yes,No,No,Yes,No,Bank transfer,Yes,No,No,No,0
CUST-000134,4,95.36,502.13,Month-to-month,Fiber optic,No,Yes,No,No,No,Yes,Yes,Mailed check,Yes,Yes,Yes,No,1
CUST-000135,18,103.0,1959.54,Month-to-month,Fiber optic,No,No,No,Yes,No,Yes,No,Mailed check,No,No,Yes,No,1
CUST-000136,26,113.01,2830.12,Month-to-month,Fiber optic,No,Yes,Yes,Yes,No,Yes,Yes,Credit card,No,No,Yes,Yes,1
CUST-000137,51,50.52,2659.69,Two year,DSL,No,No,No,Yes,No,Yes,No,Bank transfer,Yes,No,Yes,Yes,0
CUST-000138,53,67.73,3283.69,Month-to-month,DSL,No,No,Yes,Yes,Yes,Yes,No,Bank transfer,Yes,No,Yes,No,1
CUST-000139,53,76.47,3985.33,Month-to-month,DSL,Yes,No,Yes,Yes,Yes,No,Yes,Mailed check,Yes,No,No,No,0
CUST-000140,22,94.19,1688.59,One year,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Credit card,Yes,No,No,No,0
CUST-000141,27,102.03,3016.23,One year,Fiber optic,No,No,No,No,Yes,Yes,No,Electronic check,Yes,No,Yes,No,0
CUST-000142,41,53.7,2144.3,Month-to-month,DSL,No,Yes,Yes,No,No,Yes,Yes,Credit card,Yes,No,No,Yes,0
CUST-000143,44,82.34,3612.81,Month-to-month,DSL,Yes,No,Yes,Yes,Yes,Yes,No,Electronic check,Yes,No,Yes,No,0
CUST-000144,30,106.41,3261.83,Month-to-month,Fiber optic,No,No,No,Yes,No,Yes,Yes,Credit card,Yes,No,No,No,1
CUST-000145,13,102.43,1264.4,One year,Fiber optic,Yes,No,No,Yes,No,Yes,No,Electronic check,Yes,No,Yes,Yes,0
CUST-000146,56,61.07,3433.61,One year,DSL,Yes,No,No,No,No,Yes,Yes,Bank transfer,No,No,Yes,No,1
CUST-000147,38,94.46,3732.7,One year,Fiber optic,Yes,No,No,No,No,Yes,Yes,Electronic check,No,No,No,Yes,0
CUST-000148,69,88.97,6117.52,Month-to-month,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,No,Yes,No,Yes,1
CUST-000149,69,87.33,6075.59,Month-to-month,Fiber optic,No,No,Yes,Yes,No,No,No,Credit card,Yes,No,No,No,1
CUST-000150,64,105.28,6694.74,One year,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Credit card,Yes,No,No,No,1
CUST-000151,70,47.71,3433.28,Two year,No,Yes,Yes,Yes,Yes,No,No,No,Credit card,Yes,No,No,No,0
CUST-000152,45,104.44,4962.83,Two year,Fiber optic,Yes,No,No,Yes,Yes,Yes,No,Mailed check,No,No,No,No,0
CUST-000153,21,117.67,2747.77,Month-to-month,Fiber optic,Yes,No,No,No,Yes,No,No,Bank transfer,Yes,No,No,Yes,1
CUST-000154,11,86.28,1022.1,Two year,DSL,Yes,No,No,Yes,Yes,Yes,No,Electronic check,No,No,No,No,0
CUST-000155,7,113.94,849.68,Two year,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,No,No,Yes,No,0
CUST-000156,69,68.84,4659.0,Two year,No,Yes,Yes,No,Yes,Yes,Yes,No,Credit card,No,No,No,No,0
CUST-000157,19,82.17,1557.21,Month-to-month,DSL,Yes,No,No,No,No,Yes,Yes,Bank transfer,Yes,No,Yes,No,0
CUST-000158,1,117.94,0.0,Month-to-month,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic check,Yes,No,No,Yes,1
CUST-000159,2,115.93,202.78,One year,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Mailed check,Yes,No,No,No,0
CUST-000160,21,33.59,910.9,One year,No,Yes,No,No,Yes,No,Yes,No,Electronic check,No,No,Yes,No,0
CUST-000161,71,111.57,7884.99,Month-to-month,Fiber optic,Yes,Yes,Yes,No,No,Yes,No,Electronic check,No,No,Yes,No,0
CUST-000162,20,99.04,2043.49,Month-to-month,DSL,No,Yes,Yes,No,Yes,Yes,Yes,Credit card,No,No,Yes,No,1
CUST-000163,7,79.28,570.61,Two year,DSL,Yes,Yes,Yes,No,Yes,Yes,No,Bank transfer,Yes,No,Yes,No,0
CUST-000164,49,116.08,5316.69,Month-to-month,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,Electronic check,No,No,Yes,No,0
CUST-000165,4,102.4,387.09,Month-to-month,Fiber optic,No,No,No,No,Yes,Yes,No,Bank transfer,Yes,No,Yes,No,1
CUST-000166,35,41.21,1684.81,Month-to-month,No,No,No,Yes,Yes,Yes,Yes,Yes,Credit card,No,No,Yes,No,1
CUST-000167,6,101.5,258.4,One year,Fiber optic,No,No,No,Yes,No,Yes,No,Credit card,Yes,Yes,Yes,No,1
CUST-000168,6,110.37,775.96,Month-to-month,Fiber optic,Yes,No,Yes,Yes,No,No,Yes,Mailed check,Yes,Yes,Yes,No,1
CUST-000169,26,102.94,2643.2,One year,Fiber optic,Yes,Yes,No,No,No,Yes,Yes,Credit card,Yes,No,No,No,0
CUST-000170,0,81.52,278.34,Month-to-month,DSL,No,No,No,Yes,Yes,Yes,Yes,Mailed check,Yes,No,No,No,1
CUST-000171,62,37.73,2369.64,Month-to-month,No,Yes,No,No,Yes,No,No,No,Credit card,Yes,No,No,No,0
CUST-000172,44,97.14,4182.31,Month-to-month,Fiber optic,Yes,No,No,No,No,Yes,Yes,Mailed check,Yes,No,No,Yes,1
CUST-000173,68,103.46,6947.39,Month-to-month,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Credit card,Yes,No,Yes,No,0
CUST-000174,35,96.29,3188.97,Month-to-month,DSL,Yes,No,Yes,No,No,Yes,No,Electronic check,No,No,Yes,No,0
CUST-000175,40,96.71,3636.9,Month-to-month,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Mailed check,Yes,No,No,Yes,1
CUST-000176,43,100.91,4477.09,One year,Fiber optic,Yes,Yes,Yes,No,No,Yes,No,Credit card,Yes,No,Yes,Yes,0
CUST-000177,34,71.15,2571.44,Month-to-month,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Bank transfer,Yes,No,No,No,1
CUST-000178,41,56.26,2184.17,Month-to-month,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Credit card,Yes,No,Yes,No,0
CUST-000179,41,88.05,3645.04,Two year,Fiber optic,No,No,No,Yes,Yes,Yes,No,Mailed check,Yes,No,No,No,0
CUST-000180,65,73.51,4922.03,One year,DSL,Yes,Yes,No,No,Yes,Yes,No,Electronic check,Yes,No,No,No,0
CUST-000181,22,92.17,1839.93,Month-to-month,Fiber optic,No,Yes,No,No,Yes,Yes,No,Credit card,Yes,No,Yes,No,1
CUST-000182,67,106.8,6980.91,Month-to-month,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Mailed check,No,No,Yes,No,1
CUST-000183,12,18.0,244.75,Month-to-month,No,No,No,No,No,No,Yes,No,Electronic check,Yes,No,No,No,0
CUST-000184,13,136.78,1777.29,One year,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Mailed check,Yes,No,Yes,No,0
CUST-000185,18,70.94,1293.77,Month-to-month,DSL,Yes,No,Yes,Yes,No,Yes,No,Bank transfer,Yes,No,Yes,Yes,0
CUST-000186,68,103.99,7157.56,Two year,Fiber optic,Yes,No,Yes,Yes,No,Yes,No,Electronic check,Yes,No,Yes,No,0
CUST-000187,17,49.62,888.34,Month-to-month,No,Yes,No,No,Yes,No,Yes,Yes,Electronic check,No,No,No,No,1
CUST-000188,57,116.31,6670.26,Month-to-month,Fiber optic,Yes,No,No,Yes,Yes,Yes,No,Bank transfer,No,No,No,No,1
CUST-000189,42,123.95,5330.35,Month-to-month,Fiber optic,Yes,Yes,No,Yes,No,Yes,Yes,Credit card,No,No,Yes,Yes,0
CUST-000190,46,66.83,2812.89,One year,DSL,No,No,No,No,Yes,Yes,No,Bank transfer,No,No,Yes,No,0
CUST-000191,5,122.13,557.93,Month-to-month,Fiber optic,Yes,No,Yes,Yes,No,Yes,No,Bank transfer,Yes,No,Yes,No,1
CUST-000192,48,33.63,1510.71,Month-to-month,No,No,Yes,No,Yes,No,Yes,No,Credit card,Yes,No,Yes,No,0
CUST-000193,5,79.76,473.85,One year,Fiber optic,No,No,Yes,No,No,Yes,No,Electronic check,Yes,No,No,Yes,1
CUST-000194,39,86.49,3331.82,One year,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Mailed check,Yes,No,No,No,0
CUST-000195,57,19.59,1082.17,Month-to-month,No,Yes,No,No,No,No,Yes,No,Bank transfer,Yes,No,Yes,Yes,0
CUST-000196,66,126.58,8154.64,One year,Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,Bank transfer,Yes,No,No,Yes,0
CUST-000197,72,113.8,8140.95,One year,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,Credit card,No,No,No,No,1
CUST-000198,17,99.57,1899.41,One year,Fiber optic,No,No,No,Yes,Yes,No,No,Credit card,Yes,Yes,Yes,No,1
CUST-000199,56,77.02,4479.46,Month-to-month,No,No,No,Yes,Yes,Yes,Yes,Yes,Credit card,Yes,No,Yes,No,0
CUST-000200,43,108.92,4645.28,Two year,Fiber optic,No,Yes,Yes,No,Yes,No,No,Electronic check,Yes,No,Yes,No,0
